N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,3,3
1,does_anybody,bali,2,2
2,alla_rancho,el_rancho_anonymous,2,2
3,chatterbox_carew,chatterbox_jerome,2,2
4,kansas,roses,2,2
5,whisper_to_me,itallcomes,1,1
6,prelude,dakota,2,2
7,amothersprayer,myownsweet,0,0
8,twilightwaltz,calledlove,2,2
9,motheranddad,nearyou,0,0
10,goodnight,whilewedream,2,2
11,rendezvous,idreamed,0,0
12,mizpahshalom,shalom,2,2
13,evangelimann,mitternachtstango,1,1
14,hessofine,mysweetlord,2,2
15,keeponsinging,keeponsingingtwo,1,1
16,dirlada,loopdilove,3,3
17,lifeisarock,menusong,0,0
18,greengrassgrows,superstring,4,4
19,gehtsparkasse,begood,4,4
20,heartbeat,getoveryou,4,4
21,blessees,janine,4,4
22,reich,niveau,1,1
