N,Song1,Song2,Cluster_1,Cluster_2
0,o_gladsome,o_light,3,3
1,lady_love,word_warning,3,3
2,does_anybody,bali,1,1
3,old_eli,someday_prince,4,4
4,chatterbox_carew,chatterbox_jerome,1,1
5,whisper_to_me,itallcomes,0,0
6,prelude,dakota,2,2
7,motheranddad,nearyou,3,3
8,thehappywhistler,sanfranciscobrewingad,2,2
9,muehlebachbeersmith,timeformuehlebach,3,3
10,mygodandi,mygodanditwo,2,2
11,rendezvous,idreamed,2,2
12,evangelimann,mitternachtstango,0,0
13,sognonostalgico,girlinthedark,1,1
14,hessofine,mysweetlord,2,2
15,jeanniemichele,themeatimetolove,3,3
16,daybyday,themetodayshow,2,2
17,dirlada,loopdilove,1,1
18,letitend,howdeepisyourlove,3,3
19,pourtoi,feelings,3,3
20,gehtsparkasse,begood,0,0
21,heartbeat,getoveryou,0,0
22,blessees,janine,0,0
23,reich,niveau,1,1
