N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,4
1,light_myLife,lady_divine_pt2,0
2,light_myLife,lady_divine_pt3,0
3,confessing,starlight,1
4,o_gladsome,o_light,1
5,lady_love,word_warning,2
6,whisper,wishing_song,0
7,does_anybody,bali,1
8,spider,desert_song,0
9,old_eli,someday_prince,1
10,alla_rancho,el_rancho_anonymous,0
11,chatterbox_carew,chatterbox_jerome,4
12,kansas,roses,12
13,whisper_to_me,itallcomes,1
14,kalamazoo_arnstein,kalamazoo_warren,0
15,prelude,dakota,29
16,vagyok,perhaps,1
17,messiah,fence,5
18,shepherd,beginthebeguine,3
19,amothersprayer,myownsweet,3
20,sadness,youdbesonice,5
21,twilightwaltz,calledlove,2
22,motheranddad,nearyou,18
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,0
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,8
28,rendezvous,idreamed,17
29,mizpahshalom,shalom,7
30,evangelimann,mitternachtstango,0
31,mojoworkout,gotmymojoworking,20
32,sognonostalgico,girlinthedark,7
33,hessofine,mysweetlord,0
34,jeanniemichele,themeatimetolove,8
35,daybyday,themetodayshow,58
36,keeponsinging,keeponsingingtwo,5
37,dirlada,loopdilove,5
38,letitend,howdeepisyourlove,2
39,pourtoi,feelings,1
40,uncantoagalicia,bisschenfrieden,4
41,lifeisarock,menusong,0
42,es,hey,3
43,tillyou,phantomoftheopera,2
44,ithinkaboutyou,ithinkaboutyoutwo,0
45,greengrassgrows,superstring,67
46,whereareyounow,whereareyou,12
47,gehtsparkasse,begood,22
48,heartbeat,getoveryou,68
49,gumtree,downunder,7
50,blessees,janine,68
51,reich,niveau,1
