N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt1,1,1
1,light_myLife,lady_divine_pt2,1,1
2,light_myLife,lady_divine_pt3,1,1
3,o_gladsome,o_light,1,1
4,lady_love,word_warning,1,1
5,does_anybody,bali,1,1
6,spider,desert_song,1,1
7,old_eli,someday_prince,1,1
8,chatterbox_carew,chatterbox_jerome,0,0
9,kansas,roses,0,0
10,kalamazoo_arnstein,kalamazoo_warren,0,0
11,vagyok,perhaps,0,0
12,sadness,youdbesonice,1,1
13,sognonostalgico,girlinthedark,1,1
14,jeanniemichele,themeatimetolove,1,1
15,daybyday,themetodayshow,1,1
16,dirlada,loopdilove,1,1
17,uncantoagalicia,bisschenfrieden,1,1
18,es,hey,0,0
19,tillyou,phantomoftheopera,1,1
20,gehtsparkasse,begood,2,2
21,heartbeat,getoveryou,2,2
22,gumtree,downunder,0,0
23,reich,niveau,0,0
