N,Song1,Song2,Cluster_1,Cluster_2
0,light_myLife,lady_divine_pt3,3,3
1,lady_love,word_warning,2,2
2,does_anybody,bali,5,5
3,old_eli,someday_prince,2,2
4,prelude,dakota,1,1
5,vagyok,perhaps,3,3
6,amothersprayer,myownsweet,3,3
7,motheranddad,nearyou,2,2
8,rendezvous,idreamed,3,3
9,evangelimann,mitternachtstango,0,0
10,jeanniemichele,themeatimetolove,3,3
11,daybyday,themetodayshow,3,3
12,letitend,howdeepisyourlove,2,2
13,ithinkaboutyou,ithinkaboutyoutwo,3,3
14,greengrassgrows,superstring,3,3
15,gehtsparkasse,begood,0,0
16,heartbeat,getoveryou,0,0
17,blessees,janine,0,0
18,reich,niveau,5,5
