N,Song1,Song2,Cnt
0,light_myLife,lady_divine_pt1,0
1,light_myLife,lady_divine_pt2,0
2,light_myLife,lady_divine_pt3,0
3,confessing,starlight,1
4,o_gladsome,o_light,11
5,lady_love,word_warning,0
6,whisper,wishing_song,0
7,does_anybody,bali,40
8,spider,desert_song,0
9,old_eli,someday_prince,1
10,alla_rancho,el_rancho_anonymous,15
11,chatterbox_carew,chatterbox_jerome,22
12,kansas,roses,29
13,whisper_to_me,itallcomes,7
14,kalamazoo_arnstein,kalamazoo_warren,1
15,prelude,dakota,20
16,vagyok,perhaps,0
17,messiah,fence,0
18,shepherd,beginthebeguine,1
19,amothersprayer,myownsweet,64
20,sadness,youdbesonice,0
21,twilightwaltz,calledlove,3
22,motheranddad,nearyou,48
23,tonighthesailedagain,iloveyouyesido,0
24,thehappywhistler,sanfranciscobrewingad,1
25,muehlebachbeersmith,timeformuehlebach,0
26,mygodandi,mygodanditwo,0
27,goodnight,whilewedream,61
28,rendezvous,idreamed,41
29,mizpahshalom,shalom,10
30,evangelimann,mitternachtstango,6
31,mojoworkout,gotmymojoworking,2
32,sognonostalgico,girlinthedark,2
33,hessofine,mysweetlord,14
34,jeanniemichele,themeatimetolove,2
35,daybyday,themetodayshow,7
36,keeponsinging,keeponsingingtwo,16
37,dirlada,loopdilove,56
38,letitend,howdeepisyourlove,0
39,pourtoi,feelings,14
40,uncantoagalicia,bisschenfrieden,5
41,lifeisarock,menusong,6
42,es,hey,0
43,tillyou,phantomoftheopera,4
44,ithinkaboutyou,ithinkaboutyoutwo,9
45,greengrassgrows,superstring,68
46,whereareyounow,whereareyou,5
47,gehtsparkasse,begood,26
48,heartbeat,getoveryou,68
49,gumtree,downunder,7
50,blessees,janine,68
51,reich,niveau,37
